연번,제목,본문
80,[5급 2차시험 녹색펜 사용] 5급공채 2차시험에서 청·흑색 필기구가 아닌 녹색모나미 플러스펜도 사용 가능합니까?,"5급 공개경쟁채용시험 및 외교관후보자 선발시험 등의 제2차시험 답안지를 작성할 때에는 통상적인 농도와 굵기의 흑색 또는 청색 필기구만을 사용하여야 하며, 하나의 답안지에는 색상, 굵기 등이 동일한 필기구를 계속해서 사용해야 합니다. 귀하께서 말씀하신 녹색 필기구나 사인펜, 연필 종류 등은 사용할 수 없습니다. 원본 답안지가 아닌 사본 답안지로 채점을 하는데 흑색·청색이 아닌 다른 색깔의 펜 등은 스캔·복사로 사본을 제작할 경우 가독성이 현저히 떨어져 채점에 부정적 영향을 줄 수 있기 때문입니다."
81,"[불량 수성사인펜] 시험장 정문에서 나눠주는 수성사인펜으로 답안 마킹을 했는데, 판독이 제대로 안되어 점수가 제대로 안 나왔어요. 난감하네요","시험 당일 공무원 학원 관계자가 나눠 준 사인펜을 사용한 경우, 기존 시험에 합격한 선배·친구의 수성사인펜을 물려받아 사용한 경우 등은 농도 및 발광물질 등에 문제가 있어 답안지 판독과정에서 불이익을 받을 가능성이 매우 높습니다. 실제로 전체 또는 일부 답란이 제대로 판독되지 않아 불합격되는 수험생이 매년 계속해서 발생하고 있습니다. 수험생께서는 불량 또는 노후 펜 등으로 인해 판독이 되지 않는 상황이 오지 않도록 반드시 ""컴퓨터용 흑색 사인펜""을 사용하시고 시험용품 준비 시 정상 여부를 면밀히 확인하시기 바랍니다."
82,"[미지정펜 사용에 따른 불이익] 9급공채 필기시험 성적을 확인했는데, 전 과목이 “0”점으로 나왔습니다. 어떻게 된 일입니까?",필기시험 답안지에 답안을 마킹하면서 “컴퓨터용 흑색 사인펜”이 아닌 다른 필기구를 사용하셨거나 아니면 농도가 현저히 떨어지는 불량 수성사인펜을 사용하신 경우로 판독결과 '0점‘으로 처리되었습니다. 앞으로는 부적정한 필기구 사용에 따른 불이익 방지를 위해 시험 시작 전에 반드시 가지고 계신 필기구가 적절한 필기구인지 면밀히 확인하시기 바랍니다.
83,"[미국 공인회계사 인정여부] 세무직렬에서 공인회계사 자격 소지자는 5%의 가산점을 받던데, 이 때 미국 공인회계사(AICPA)도 해당되는지요?","6급이하 채용시험의 가산점 적용대상 자격증은 국가기술자격법이나 그 밖의 법령에 따른 자격증 중 공무원임용시험령 별표12에서 정한 자격증에 한합니다. 이에 따라 세무직렬에 가산점이 인정되는 자격증은 국내에서 취득한 변호사, 공인회계사, 세무사에 한하며, 미국 공인회계사 자격증은 해당되지 않습니다."
84,"[자격증 취득 유효시점] 만약 7.24일에 세무사 2차시험 합격자를 발표하고 이 때, 합격자로 결정되면 8월17일 시행예정인 7급공채 세무직렬 시험에서 5%의 가산점을 받을 수 있나요?","「세무사법」제3조에 의하면, 세무사 자격은 세무사 자격시험(1차+2차) 합격과 동시에 인정됩니다. 따라서 귀하가 7급 공개경쟁채용시험의 필기시험 시행 전일까지 세무사 자격시험에 최종 합격한 경우라면 5%에 해당하는 가산점을 부여받을 수 있습니다. 마찬가지로 공인회계사, 감정평가사, 변리사, 법무사, 관세사 및 변호사도 자격시험에 합격하면 그 자격이 바로 인정됩니다."
85,[사회복지사 자격증] 사회복지사 1급 자격증을 가지고 있습니다. 이 자격증으로는 가산점을 받을 수 없나요?,"「공무원임용시험령」 별표11 및 별표12에 따르면, 사회복지사 1급은 6급이하 사회복지직렬 채용시험에서 5%의 가산점을 부여받을 수 있는 자격증입니다. 다만, 인사혁신처가 주관하는 7급 및 9급 공개경쟁채용시험에서는 사회복지직렬을 선발하고 있지 않음을 알려드립니다. 참고로, 사회복지직렬은 지방공무원 공개경쟁채용시험을 통해 선발하고 있으며, 사회복지사 자격증은 가산대상이 아닌 응시에 필요한 필수 자격증으로 정하고 있음을 알려드립니다."
86,[취업지원 가점 적용횟수 제한] 취업지원 대상자 가점의 경우 최대 몇 번의 채용시험에서 가점적용을 받을 수 있나요?,"「국가유공자등예우및지원에관한법률」제31조에 따라, 6급이하 채용시험에서 취업지원 대상자에게 과목별 만점의 5% 또는 10%에 해당하는 점수를 가산하고 있습니다. 이 때, 취업지원 대상자 가점 부여에 대한 횟수 제한은 없으므로 귀하가 응시하는 매 시험마다 과락만 아니라면 취업지원대상자 가점을 적용받을 수 있습니다."
87,[면접시험에서 취업지원 가점 적용여부] 면접시험에서 취업지원대상자의 경우 가점이 반영 되나요?,"「국가유공자등예우및지원에관한법률」제31조제2항을 보면, 점수로 환산이 불가능한 시험은 취업지원 대상자 가점을 부여하지 않도록 되어 있습니다. 이에 따라 인사혁신처에서 주관하는 채용시험의 면접에서는 취업지원대상자 가점이 별도로 적용되지 않습니다. 다만, 동 법률 제31조제3항에서 규정한 취업지원 대상자 가점합격 30% 상한제는 적용하여 최종 합격자를 결정하고 있습니다."
88,"[과락자에 대한 가점 적용] 국어만 40점 미만인데, 국어 외에 나머지 과목에도 취업지원대상자 가점이 반영되지 않았습니다. 왜 그런거죠?",6급이하 채용시험에서 취업지원 대상자 가점을 받기 위해서는 응시과목 모두 과목별 만점의 40%(100점 만점인 경우 40점) 이상을 득점해야만 합니다. 한 과목이라도 과락(40점 미만)에 해당하는 점수를 받으면 다른 과목에서도 가점이 적용되지 않습니다. 이는 자격증 가산점에서도 동일하게 적용됩니다.
89,[취업지원대상자 가점합격 30% 상한제] 선발예정인원이 3명 이하인 장애인 모집도 취업지원대상자 가산점을 받을 수 없나요?,「국가유공자등예우및지원에관한법률」제31조제3항에 따라 취업지원 대상자 가점을 받아 합격하는 수험생이 그 채용시험 선발예정인원의 30%를 초과할 수 없습니다. 이에 따라 장애인 구분모집을 포함하여 모든 모집단위에서 선발예정인원이 3명 이하인 경우에는 취업지원대상자 가점을 적용하지 않은 원 점수를 기준으로 합격자를 결정합니다. 왜냐하면 선발예정인원이 3명 이하인 모집단위에서 취업지원 대상자 가점을 적용하여 1명이라도 합격하게 되면 이미 30% 상한을 초과하기 때문입니다.
90,[취업지원대상자 해당여부 판단시점] 아버지(또는 본인)께서 국가유공자로 인정받기 위한 절차가 진행 중입니다. 가점을 받기 위해서는 언제까지 국가유공자로 지정되어야 합니까?,"6급이하 공무원 채용시험에서 취업지원대상자 가점을 받기 위해서는 본인이 필기시험(7급 공채의 경우 1차 시험) 전일까지 「국가유공자등예우및지원에관한법률」등에 의해 취업지원대상자로 유효하게 등록되어 있어야 합니다. 귀하의 부모님께서 국가유공자로 등록된다고 해도 귀하가 취업지원대상자로 지정되지 않을 수 있고, 또 몇 % 가점대상자인지 모르기 때문에 반드시 지방보훈청 등(보훈부 상담센터 1577-0606)에 가셔서 ‘취업지원대상자 증명서’를 발급하여 확인하신 후 취업지원대상자 가점을 신청하셔야 합니다."
91,[잘못된 가산점 등록시] 필기시험 종료 후 가산점 등록기간에 실수로 잘못된 가산점을 등록하였습니다. 구제방법이 없을까요?,"필기시험을 보고 나서 3일간(마지막 날은 21시까지) 국가공무원채용시스템에서 가산점을 등록할 수 있습니다. 응시자가 등록한 가산점 신청정보를 토대로 관계기관 사전 조회·확인을 거쳐 응시자가 취업지원 대상자 가점비율을 잘못 알고 있거나, 가산대상 및 가산비율을 착오로 등록한 경우에는 관계기관 조회 결과를 성적사전공개 기간에 필기성적과 함께 수험생에게 국가공무원채용시스템에서 알려 드리고 있습니다. 따라서 성적사전공개기간에 수험생이 등록한 가산대상 및 비율을 직접 확인하시고 잘못된 부분이 있는 경우 이의신청을 통하여 잘못된 가산대상 및 비율을 정정하시기 바랍니다.(단, 미등록자는 구제 불가)"
92,"[가산특전 조회․결과 공지] 자격증 소지여부 등을 조회․확인한 후 그 결과를 사전 공지하는 절차가 있다고 하던데, 설명 부탁드립니다.","수험생이 국가공무원채용시스템에 입력한 가산특전 신청내용을 토대로 국가보훈부 및 자격증발급기관 등에 가산점 부여요건 (취업지원대상자 대상여부, 소지 자격증 현황, 가산비율 등)을 조회·확인합니다. 이어 그 결과를 국가공무원채용시스템을 통해 필기시험 성적 사전공개기간에 필기시험 성적과 함께 공개하여 수험생이 직접 확인이 가능합니다."
93,"[취업지원대상자 가점 신청절차] 취업지원대상자인데요, 공무원 시험에서 가점을 받으려면 어떤 절차를 밟아야 하는지 궁금합니다.","먼저, 본인이 취업지원대상자에 해당되는지 여부와 가점비율(5% 또는 10%) 등을 국가보훈부 및 지방보훈청 등(보훈부 상담센터 1577-0606) 또는 정부24 누리집(www.gov.kr)에서 ‘취업지원대상자 증명서’를 발급받아 반드시 확인하시기 바랍니다. 취업지원 대상자 가점을 받기 위해서는 필기시험일(7급 공채의 경우 1차시험일)을 포함하여 3일 이내(마지막날은 21시까지)에 국가공무원채용시스템(gongmuwon.gosi.kr)에 접속하여 가산특전 신청사항을 입력하셔야 합니다. 이후 귀하의 입력정보를 토대로 국가보훈부에 적격여부를 조회·확인하므로 별도로 증명서를 제출하는 절차는 없습니다. 단, 본인이 입력을 잘못하는 등의 사유로 인해 적격여부가 확인이 되지 않을 경우에는 필기시험 성적 사전공개기간에 증빙서류를 제출해야 합니다."
94,[자격증 소지여부 판단시점] 언제까지 자격증을 취득해야만 자격증 가산점을 받을 수 있는 것인지요?,"6급이하 채용시험에서 자격증 가산점을 적용받기 위해서는 필기시험(7급 공채의 경우 2차시험) 시행 전일까지 가산점 적용요건을 충족하시면 됩니다. 이어 필기시험 시행일을 포함하여 3일 이내(마지막날은 21시까지)에 국가공무원채용시스템(gongmuwon.gosi.kr)에 접속해 본인이 소지하고 있는 자격증명과 해당 가산비율을 입력해야 채점과정에서 가산점이 반영됩니다. 참고로 7급 공채의 경우 취업지원대상자 및 의사상자 가점은 1차 시험, 자격증 가산점은 2차시험 시행일을 포함하여 3일 이내에 입력해야 하니 혼동하지 않도록 주의하시기 바랍니다."
95,"[지방인재 선발] 현재는 5급 공채와 7급 공채시험에 지방인재 채용목표제가 적용되고 있는 것으로 알고 있는데, 적용되는 방식이 다른가요?","말씀하신 바와 같이 5급 공채시험 및 외교관후보자 선발시험과 7급 공채시험에 지방인재채용목표제를 적용하고 있습니다.지방인재채용목표제의 제도취지, 적용방법 등은 전체적으로 동일하나 채용목표인원, 추가합격 상한 등에 있어 일부 다른 점이 있습니다.지방인재 채용목표인원은 7급 공채의 경우 ""선발예정인원의 30%"", 5급 공채 및 외교관후보자 선발시험의 경우 ""선발예정인원의 20%입니다. 추가합격 상한은 7급 공채의 경우 ""합격예정인원의 5% 이내"", 5급 공채 및 외교관후보자 선발시험의 경우 ""합격예정인원의 10%이내""입니다. 이 때 5급 공채 및 외교관후보자 선발시험과 7급 공채 시험 모두 1차(PSAT)시험에서는 추가합격 상한을 적용하지 않고 있습니다.보다 자세한 사항은 통합인사지침(인사혁신처 예규)을 참고하시거나 인사혁신처(통합인사정책과, 044-201-8381, 8380)로 직접 문의해 주시기 바랍니다."
96,[면접위원에게 지방인재 정보 제공여부] 어떤 수험생이 지방인재에 해당되는지 여부를 면접위원들에게 사전에 알려줍니까?,"면접시험 전에 면접위원들에게 지방인재채용목표제의 의의와 내용을 설명하긴 하나, 어떤 수험생이 지방인재에 해당하는지에 대한 정보는 일절 공개하지 않은 상태에서 면접을 진행하고 있습니다."
97,"[지방인재 및 양성평등 경합] 필기시험 합격자 결정시, 지방인재채용목표제와 양성평등채용목표제가 경합될 경우 어떤 제도가 우선 적용됩니까?","필기시험 합격자 결정에서 추가 합격자를 결정할 때, 지방인재채용목표제와 양성평등채용목표제가 경합된다면 지방인재채용목표제를 우선 적용하고, 양성평등채용목표제를 후순위로 적용합니다."
98,[외국대학 졸업] 지방소재 고등학교 졸업 후 외국대학을 졸업했습니다. 저도 지방인재채용목표제 적용을 받을 수 있습니까?, 외국학교는 지방학교가 아니므로 외국학교에 재학 중이거나 졸업한 경우는 지방인재채용목표제 적용을 받을 수 없습니다. 지방소재 고등학교 졸업이 아니라 최종학력인 외국대학 졸업을 기준으로 판단하기 때문입니다.
99,[사관학교 중퇴 지방인재 해당 여부] 제가 지방에 소재한 사관학교에 다니다가 중퇴를 하였습니다. 제가 지방인재에 해당하는지 궁금합니다. ,"서울소재 학교가 지방으로 이전한 경우, 이전하는 시점 이전 졸업자는 서울소재 학교를 졸업한 것으로 보아 지방인재에서 제외됩니다. 귀하의 경우, 현재 용인 소재 단국대학교에 재학 중이며, 해당 학교의 이전 시점인 2007년 이전의 졸업자가 아니므로, 지방인재에 해당된다고 할 수 있습니다. 참고로 2007년 단국대학교가 경기도 용인으로 이전하는 시점 이전에 졸업한 수험생은 서울소재 학교를 졸업한 것으로 보아 지방인재에 포함되지 않습니다."
100,[대학 소재지 이전] 서울에 소재한 단국대(본교)로 입학하였으나 동 대학이 2007년 경기도 용인으로 위치 변경되었어요. 현재 용인에 소재한 단국대에 다니고 있는데 저는 지방인재에 해당하는지요?,"교육관계법령에 규정된 대학원 입학·재학·졸업 등의 학력사항은 지방인재 판단기준에 포함되어 있지 않습니다. 귀하께서 질의하신 것처럼 대학원 재학을 제외한 최종학력이 지방소재 대학 졸업이라면 지방인재에 해당됩니다. 보다 자세한 사항은 인사혁신처 통합인사정책과(044-201-8381, 8380)로 문의하시기 바랍니다."
101,[서울소재 대학원 재학] 지방소재 대학을 졸업하고 서울에 있는 대학원에 재학 중입니다. 지방인재에 해당되는지 궁금합니다. ,"통합인사지침(인사혁신처 예규)에 따르면 「고등교육법」제24조상의 ""분교""인 경우에 한해 분교의 소재지를 기준으로 지방학교 해당여부를 판단합니다. 이 기준에 의하면 연세대학교 원주캠퍼스의 경우는「고등교육법」제24조상의 분교로 인정되어 지방학교의 범위에 포함되나, 성균관대학교 수원캠퍼스는 분교가 아니므로 지방학교에 해당되지 않지 않습니다."
102,"[분교, 캠퍼스] 각 대학별 분교는 지방학교로 인정되는 것인지요?",지방인재채용목표제는 매 시험단계별로 지방인재가 합격예정인원의 일정비율 이상이 될 수 있도록 합격예정인원을 초과하여 지방인재를 추가 합격시키는 제도입니다. 필기시험 합격자 중 지방인재가 채용목표비율에 미달하는 경우 그 미달인원만큼 당초 합격예정인원을 초과하여 지방인재를 추가 선발하는 것으로 기존 합격선에 든 非 지방인재 합격자를 탈락시키는 것은 아니므로 非 지방인재가 손해를 보는 것은 아닙니다.
103,"[서울 소재 대학 역차별] 지방인재채용목표제 적용으로 지방대 출신만 우대하는데, 서울 소재 대학 졸업생을 역차별하는 것이 아닌가?","지방인재채용목표제'는 지방인재의 공무원 임용기회 확대를 위해 시험단계별로 합격예정인원을 초과하여 지방인재를 합격시키는 제도로, 국가공무원 5급(지역구분모집은 적용 제외), 외교관후보자, 7급 공채 시험 중 선발예정인원이 10명 이상인 모집단위에서 적용합니다. 적용대상은 서울특별시를 제외한 지역에 소재하는 대학의 졸업(예정)자 또는 서울특별시를 제외한 지역에 소재한 학교를 최종적으로 졸업(예정), 중퇴, 재학, 휴학 중인 수험생입니다. 응시원서 접수 시에 본인이 지방인재에 해당하는지 여부와 본인의 최종학력 사항을 입력하시면 지방인재채용목표제를 적용 받을 수 있습니다. 필기시험 합격자 발표일에 인사혁신처에서 졸업(재학)증명서 등 증빙서류를 알려드리니 안내하는 기간 내에 국가공무원채용시스템(gonguwon.gosi.kr)에 등록(제출)해 주시기 바랍니다."
104,지방인재채용목표제 적용 신청을 언제 하나요? 제출해야 하는 서류가 있나요?,"인사혁신처에서는 서울특별시를 제외한 지역에 소재한 소정의 학교를 최종적으로 졸업(예정).중퇴하거나 재학·휴학 중인 자를 지방인재로 정의하고, 이에 해당하는 지방인재의 공직임용 확대를 위해 5급·7급 공개경쟁채용시험 및 외교관후보자 선발시험에서 지방인재채용목표제를 시행하고 있습니다. 지방인재채용목표제란 매 시험단계별로 지방인재가 합격예정인원의 일정비율(5급·외교관20%, 7급 30%) 이상이 될 수 있도록 합격예정인원을 초과하여 지방인재를 추가 합격시키는 제도입니다. 지방인재채용목표제에 대한 보다 자세한 사항은 인사혁신처 예규인 통합인사지침(Ⅳ-[1]-지방인재채용목표제)을 참조하시거나, 인사혁신처 통합인사정책과(044-201-8381)로 문의하시기 바랍니다."
105,"[지방대 채용우대 제도] 지방대학 출신자 채용우대 정책이 있다고 하던데, 공채시험에서 지방대학 출신을 위한 어떤 제도가 마련되어 있나요?",9급 공채의 경우 어느 한 성의 합격자가 목표인원에 미달할 경우에는 시험령 제25조 및 통합인사지침에 따라 추가합격 요건을 갖추고 전과목 평균득점이 합격선 -3점 이상인 해당 성의 응시자 중에서 점수가 높은 사람부터 차례로 목표미달 인원만큼 추가합격 처리합니다.
106,"[필기시험 추가합격자 결정시 양성평등채용목표제 적용여부] 9급공채의 경우 필기시험 추가합격자를 결정하는 경우가 있던데, 이때에도 양성평등채용목표제가 적용되나요?","양성평등채용목표제 적용으로 필기시험에서 여성 추가합격 가능인원이 1명인데, 추가 합격이 가능한 합격선에 동점인 여성 응시자가 2명 존재할 경우에는 통합인사지침(Ⅱ-4-라. 동점자 처리방법)에 따라 2명 모두를 추가 합격자로 결정합니다."
107,"[양성평등채용목표제 적용시, 동점자 처리방법] 양성평등채용목표제 적용으로 여성 1명을 추가 합격시킬 수 있는 경우, 추가 합격선에 해당하는 여성 응시자 중 동점자가 2명 이상일 때에는 어떻게 합격자를 결정하나요?","9급 행정직 필기시험 합격자를 결정할 때 양성평등채용목표제 적용으로 여성을 추가 합격시킨 경우에는 면접시험에서 일정요건에 해당하는 경우 최종 선발예정인원이 늘어날 가능성이 있습니다. 통합인사지침(인사혁신처 예규)에 따르면 당초 면접시험 합격예정인원에 포함된 여성이 채용목표인원(선발예정인원 &times; 30%)에 미달하는 경우 그 미달인원만큼 선발예정인원을 초과하여 여성을 추가합격시킬 수 있습니다. 또한, 필기시험에서 추가합격된 해당 여성이 면접시험에서 ""우수"" 평정을 받아 면접시험 합격예정인원에 포함된 경우에는 그 인원만큼 반대성인 남성을 추가합격시킬 수 있습니다. 그러나「공무원임용시험령」제25조에 따라 면접시험 위원이 일부 응시자들에게 '미흡(불합격)'에 해당하는 평정을 한 경우에는 최종 선발예정인원이 늘어나지 않을 수 있습니다. 자세한 사항은 인사혁신처 홈페이지에 게시되어 있는 통합인사지침을 확인하시기 바랍니다."
108,"[양성평등목표제 적용에 따른 최종 합격인원 증가] 양성평등채용목표제 적용으로 9급 행정직 필기에서 여성을 추가합격시킨 경우, 최종 선발인원도 증가되나요?","양성평등채용목표제는 여성 또는 남성이 시험실시단계별로 선발예정인원의 일정비율(30%,) 이상이 될 수 있도록 선발예정인원을 초과하여 여성 또는 남성을 추가 합격시키는 제도입니다. 실제 공개경쟁채용시험의 필기시험에서 남성이 동 제도를 적용받아 합격한 사례가 종종 있듯이 이 제도가 반드시 여성만을 우대하는 것은 아니라는 말씀을 먼저 드립니다. 질의하신 내용처럼 필기시험 합격예정인원 중 여성이 채용목표비율(30%)에 미달하는 경우 그 미달인원만큼 당초 합격예정인원을 초과하여 여성 응시자를 추가 선발하더라도 기존 합격선에 든 남성 합격자를 탈락시키는 것은 아니므로 남성이 손해를 보는 것은 아닙니다."
109,[양성평등목표제 적용시 남성 불이익] 양성평등채용목표제를 적용해서 여성에게 합격 우선권을 주면 남성이 손해를 보는데 공채시험의 취지에 맞지 않다고 봅니다.,"인사혁신처에서 시행하는 5·7·9급 공개경쟁채용시험(교정·보호직렬은 제외), 외교관후보자 선발시험 등이 양성평등채용목표제 적용대상이며, 선발예정인원이 5명 이상인 모집단위에 한해 적용됩니다. 인사혁신처가 실시하는 경력경쟁채용시험에 대해서는 필요시 시험계획 공고문에 명시하여 적용하고 있습니다. 양성평등채용목표제 적용대상, 채용목표비율 및 합격자 결정방법 등 자세한 사항은 통합인사지침(인사혁신처 예규)를 참고하시기 바랍니다."
110,[양성평등목표제 적용시험] 양성평등채용목표제는 모든 공무원 채용시험에 적용되는 것인지요?,2015년부터는 확대독서기를 사용하는 중증 시각장애인 수험생들을 위해 A4규격의 82%(10pt)로 축소된 문제지를 제공합니다. 응시원서 접수 시 장애인 편의지원 서비스 중 '축소문제지'를 선택하시면 시험 당일 축소문제지가 제공됩니다.
111,"[축소문제지 제공] 확대독서기를 사용하는 장애인 수험생인데요, 확대문제지 대신에 일정비율로 축소된 문제지를 제공해 주실 수 없나요?",장애인 및 상이등급자로 등록되지 않았더라도 틱 장애 등으로 인해 시험을 볼 때 현실적 어려움이 있는 수험생에게도 필요로 하는 편의지원 서비스를 제공하고 있습니다. 우선 원서접수 기간 또는 사전신청 기간에 편의지원 서비스를 신청하신 후 종합병원에서 발급한 의사진단서 또는 소견서를 인사혁신처가 안내하는 기간 내에 제출하시기 바랍니다. 제출하신 서류와 전문 의료기관의 자문 등을 거쳐 귀하의 장애 유형 및 정도 등을 확인한 후 편의지원 서비스 제공여부를 최종 결정해 알려 드립니다.
112,[틱 장애 편의지원 지원여부] 장애인으로 등록되지는 않았으나 틱장애로 시험을 볼 때 어려움이 많습니다. 편의지원 서비스 제공 받을 수 있나요?,"임산부에게는 별도시험실 배정(좌석간격 조정), 높낮이 조절 책상 제공, 시험 도중 화장실 사용 허용 등의 편의지원 서비스가 제공됩니다. 응시원서 접수 시 위 사항을 신청하시고 이후 본인의 임신 사실을 확인할 수 있는 의사 소견서(임신부의 경우 종합병원 이외에 병원·의원급 의료기관에서도 발급 가능)를 인사혁신처가 안내하는 기간 내에 제출하시면 됩니다."
113,[임신부에게 제공되는 편의지원] 임신을 한 상태인데 이번 9급 시험을 보려니 많은 걱정이 앞섭니다. 임산부에게 제공되는 편의지원 서비스는 없나요?,"장애정도가 심하지 않은 뇌병변 장애에 해당하는 수험생은 별도의 서류제출 없이 확대문제지, 확대답안지, 별도시험실 등을 제공받을 수 있으며, 원칙적으로 시험시간 연장 서비스는 제공되지 않습니다. 다만, 경증인 뇌병변 4~6급에 해당한다 하더라도 손 떨림 등으로 통상의 답안지 작성에 큰 어려움이 있다고 판단되는 경우에는 극히 제한적으로 시험시간이 1.5배 연장될 수 있습니다. 이 경우에는 수험생이 종합병원에서 발급한 의사진단서(장애의 종류 및 정도, 답안지 작성시 불편내용, 필요로 하는 서비스 등이 구체적으로 명시되어 있어야 함)를 제출하시면, 이를 토대로 시험시간 연장 서비스 제공여부를 최종 결정해 알려드립니다."
114,"[경증 뇌병변장애인의 시험시간 연장 제공여부] 뇌병변 4급으로 경증장애인에 해당하지만, 손 떨림 등으로 답안지 작성에 어려움이 많습니다. 저 같은 경우는 시험시간 연장을 받을 수 없나요?","면접시험 평가과정에서 수험생 개개인의 장애종류 및 정도가 선입견으로 작용될 우려가 있기 때문에 원칙적으로 면접시험 위원에게 일체의 정보를 사전에 제공하지 않습니다. 그러나, 면접시험 위원이 응시자의 장애종류 등에 대해 적합한 고려를 해야 하는 경우도 있기 때문에 희망하는 수험생에 한해 면접위원에게 장애종류 등을 미리 알려드리고 있습니다."
115,[면접위원에게 장애특성 등 사전 고지여부] 저는 난치인 청각장애인입니다. 면접위원이 저의 장애종류와 정도를 미리 알고 면접시험을 진행하시나요?,"확대문제지는 A3용지로 제공되고 확대비율은 118%(14pt)와 150%(18pt) 2종류가 있으며, 일부 확대독서기 사용자를 위하여 82%(A4, 10pt)의 축소문제지도 제공하고 있습니다. 응시원서 접수기간에 장애인 편의지원 서비스를 신청할 때, 위 3종류의 문제지 중 하나를 신청하시면 됩니다. 참고로 확대답안지는 A3규격의 기입형과 표기형 답안지를 제공하며, 이 중 하나를 선택하여 답안을 작성할 수 있습니다. 확대·축소문제지나 확대답안지를 제공받는 응시자에게는 별도로 일반 문제지나 일반 답안지를 제공하지 않음을 알려드립니다."
116,[확대 · 축소문제지] 수능시험처럼 시험문제지의 확대비율을 수험생이 직접 선택할 수 있습니까? 확대비율은 어느 정도인가요?,"면접시험 단계에서 의사소통에 어려움이 있는 언어장애인의 경우도 청각장애인에 준해 면접시간 20분 이내 연장, 장애특성 면접위원 사전고지, 의사전달보조요원(수화통역사 등), 필담 면접, 관련자료 서면제공 등의 편의서비스가 제공됩니다."
117,"[언어 장애인을 위한 편의조치] 의사소통이 어려운 청각장애인에게 면접 시 다양한 편의서비스가 제공되는데, 같은 처지인 언어장애인도 동일한 편의지원을 받을 수 없나요?","장애인 수험생이 일반 모집에 응시하더라도 비장애인과 동일한 조건에서 응시가 가능하며, 확대된 문제지 및 답안지 제공, 별도 시험실 제공 등의 편의서비스를 제공받을 수 있습니다. 그러나, 시험결과에 직접적인 영향을 주고 또 악용가능성이 높은 ""시험시간 연장 서비스""는 공개경쟁채용시험의 특성 및 장애인 구분모집제 도입취지 등을 고려하여 일반 모집단위에서는 제공하지 않습니다."
118,[일반 모집에 편의지원 제공여부] 9급 장애인 구분모집이 아닌 일반 모집에 응시하는 장애인 수험생에게도 편의 서비스가 동일하게 적용됩니까?,"결론적으로, 2018년에 시험시간 연장 서비스를 적용받기 위해 의사 진단서(소견서)를 제출한 응시자는 2019년에 동일한 편의지원 서비스를 신청한 경우에 한해 의사 진단서(소견서) 제출이 면제됩니다. 응시자가 제출한 의사진단서(소견서)는 종합병원 발급일로부터 2년이 경과되기 이전에만 유효성을 인정하며, 응시원서 접수마감일이 그 2년 이내에 포함된 시험에 대해서만 진단서(소견서) 제출이 면제됩니다. 예를 들어 2017년에 제출한 진단서(소견서) 발급일이 2017.1.2.이고, 2019년 응시원서 접수 마감일이 2019.1.9.인 시험의 경우에는 응시원서 접수마감일 기준으로 진단서(소견서) 유효 인정기간인 2년이 경과되었으므로 2019년의 해당 시험에서는 다시 진단서(소견서)를 제출해야 합니다."
119,"[의사진단서 제출 면제] 2018년에 의사진단서를 제출하고 시험기간 연장 서비스를 받았는데요, 2019년에 또 다시 의사진단서를 제출해야 하나요?","하지 지체장애인은 별도시험실 배정, 휠체어 전용책상 배치 등의 편의지원 서비스 신청이 가능하며, 이 경우에는 별도의 의사진단서를 제출할 필요가 없습니다. 의사진단서를 제출해야 하는 대상은 다음과 같습니다. ① 뇌병변 장애정도가 심하지 않은 사람(기존 4~6급)이 시험시간 1.5배 연장을 신청한 경우 ② 시각 장애정도가 심한 사람 중 두 눈의 시야가 각각 모든 방향에서 5도 이하로 남은 사람(기존 3급2호) 중 점자사용 필요성을 인정받은 사람 또는 장애정도가 심하지 않은 사람 중 두 눈의 시야가 각각 모든 방향에서 10도 이하로 남은 사람(기존 4급2호) 중 점자사용 필요성을 인정받은 사람이 시험시간 1.7배 연장을 신청한 경우 ③ 시각 장애정도가 심하지 않은 사람 중 나쁜 눈의 시력이 0.02 이하이고, 좋은 눈의 교정시력이 0.3 이하인 사람이 시험시간 1.5배 연장을 신청한 경우 ④특수 및 중복장애, 일시적 신체장애로 인해 응시에 현저한 지장이 있어 시험시간 연장을 신청한자 ⑤ 과민성대장증후군으로 시험 중 화장실 사용 허용을 신청한 자 등입니다. 다만, ⑤의 경우는 서로 다른 종합병원에서 발급받은 의사소견서와 의사진단서를 함께 제출해야 합니다."
120,"[의사진단서 제출 대상] 하체가 불편한 지체장애인입니다. 휠체어 이동이 편리한 시험장을 신청하고 싶은데, 의사진단서를 제출해야 하나요?","시험응시에 큰 불편이 없는 장애인에게 편의지원 서비스를 제공할 경우 공개경쟁채용시험의 실질적 형평성을 크게 저해할 우려가 있기 때문에 전문성과 신뢰성이 인정되는 종합병원(의료법 제3조)에서 발급한 의사진단서만을 제출서류로 인정하고 있습니다. 귀하께서 거주하는 곳에 있는 종합병원은 건강보험심사평가원 홈페이지(www.hira.or.kr)에 접속한 후 메인화면에 있는 ""찾기 서비스"" 코너를 통해 확인할 수 있습니다."
